Scope,Dimension,Baseline_Median,Baseline_Q25,Baseline_Q75,Applied_Scale,Scale_Source,NearZero_Guard_Applied
Regional_State,BetaH.Anterior,1.39409325,1.0769484999999999,1.84261925,0.7656707500000002,baseline_IQR,False
Regional_State,BetaH.Central,1.4595305,1.08987325,1.959776,0.8699027500000001,baseline_IQR,False
Regional_State,BetaH.Frontal,1.3174055,1.0262138465246349,1.71850225,0.6922884034753651,baseline_IQR,False
Regional_State,BetaH.FrontoCentral,1.00527725,0.7763715,1.315945125,0.5395736250000001,baseline_IQR,False
Regional_State,BetaH.Occipital,1.5632575000000002,1.1174385,2.0989007500000003,0.9814622500000003,baseline_IQR,False
Regional_State,BetaH.Parietal,1.0813890000000002,0.80383975,1.4225712499999998,0.6187314999999999,baseline_IQR,False
Regional_State,BetaH.Temporal,0.7835575767614238,0.629327,1.0035245,0.37419749999999996,baseline_IQR,False
Regional_State,Gamma.Anterior,0.347601,0.28536849999999997,0.4352645,0.14989600000000003,baseline_IQR,False
Regional_State,Gamma.Central,0.255193,0.2132385,0.31108625,0.09784775000000001,baseline_IQR,False
Regional_State,Gamma.Frontal,0.26950050000000003,0.224704,0.32725975,0.10255575000000003,baseline_IQR,False
Regional_State,Gamma.FrontoCentral,0.20217249999999998,0.17263875,0.2405835,0.06794475,baseline_IQR,False
Regional_State,Gamma.Occipital,0.41647500000000004,0.34755025,0.50713225,0.15958199999999995,baseline_IQR,False
Regional_State,Gamma.Parietal,0.21765400000000001,0.18420675,0.25919975,0.074993,baseline_IQR,False
Regional_State,Gamma.Temporal,0.15750625000000001,0.13622175,0.182957375,0.046735625,baseline_IQR,False
