Source_File,Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
BASELINE_EC__RawEEG_Coherence_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,496,0.4642356742234206,0.467104499276139,0.2357659146574094,0.0056754873817305,0.1381502352892142,0.2774210181042706,0.6500707360883968,0.7903340692481086,0.9410884144214058,,,,,,
BASELINE_EC__RawEEG_PLV_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Alpha,,496,0.5088748340399815,0.5064421286195881,0.2557246983144501,0.0690910634133673,0.1924592796361698,0.2511919354499656,0.7237272723696825,0.8672167475167184,0.9837580224068072,,,,,,
BASELINE_EC__RawEEG_PLV_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,BetaH,,496,0.5029789930721594,0.5178707798104052,0.2255064194119274,0.0214912025023823,0.1927389070111292,0.3086576935694083,0.6771553044774749,0.8136602639428929,0.9514347713021128,,,,,,
BASELINE_EC__RawEEG_PLV_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,BetaL,,496,0.5316699721592447,0.5412719770527558,0.2270299738788156,0.006838285401723,0.2181671856158375,0.3561382534198994,0.7107398874216727,0.8333691424472243,0.9492378745122706,,,,,,
BASELINE_EC__RawEEG_PLV_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Gamma,,496,0.4167411907184316,0.4107717244008132,0.1601414300126311,0.0854531912015965,0.2079101967612658,0.2982389845151922,0.5367320016455692,0.6318888891047915,0.7886336035560779,,,,,,
BASELINE_EC__RawEEG_PLV_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,496,0.5708677544854956,0.5865055317559553,0.2003002244890066,0.0295241496843452,0.294676873379135,0.4339802279135786,0.7276468423893524,0.8358812127402044,0.9531704234560454,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,Alpha,,496,0.4185382523397904,0.3665437189020525,0.279311745915029,0.0477920624656277,0.1117761542828729,0.1564346450560823,0.6461102258544322,0.8471922792635412,0.9868018334122184,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,BetaH,,496,0.3906866594180486,0.3751519677682064,0.2520786664850127,0.0111826853573103,0.0723512017913458,0.1577269500625413,0.5875844169278912,0.7694568641382012,0.9515397934932762,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,BetaL,,496,0.4460311325681113,0.4304476201260143,0.2705953991669431,0.0033808536735337,0.0833343208829711,0.2028714766846818,0.6743398219698837,0.8271880876905611,0.9645943904661538,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,Gamma,,496,0.2632467195748682,0.2448903327109749,0.1570015484254734,0.0184855239309139,0.0763909004269579,0.1445496060459804,0.3720462329569289,0.4691956384510052,0.7217167001980747,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,496,0.4642356742234206,0.467104499276139,0.2357659146574094,0.0056754873817305,0.1381502352892142,0.2774210181042706,0.6500707360883968,0.7903340692481086,0.9410884144214058,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Alpha,,496,0.5088748340399815,0.5064421286195881,0.2557246983144501,0.0690910634133673,0.1924592796361698,0.2511919354499656,0.7237272723696825,0.8672167475167184,0.9837580224068072,,,,,,
